handle: 0x0052, uuid: 00002902-0000-1000-8000-00805f9b34fb //OnewheelConfigUUID
handle: 0x0053, uuid: 00002901-0000-1000-8000-00805f9b34fb
handle: 0x0054, uuid: 00002803-0000-1000-8000-00805f9b34fb
handle: 0x0055, uuid: e659f310-ea98-11e3-ac10-0800200c9a66
handle: 0x0056, uuid: 00002902-0000-1000-8000-00805f9b34fb //OnewheelConfigUUID
handle: 0x0057, uuid: 00002901-0000-1000-8000-00805f9b34fb
handle: 0x0058, uuid: 00002803-0000-1000-8000-00805f9b34fb
handle: 0x0059, uuid: e659f311-ea98-11e3-ac10-0800200c9a66
handle: 0x005a, uuid: 00002902-0000-1000-8000-00805f9b34fb //OnewheelConfigUUID
handle: 0x005b, uuid: 00002901-0000-1000-8000-00805f9b34fb
handle: 0x005c, uuid: 00002803-0000-1000-8000-00805f9b34fb
handle: 0x005d, uuid: e659f312-ea98-11e3-ac10-0800200c9a66
handle: 0x005e, uuid: 00002902-0000-1000-8000-00805f9b34fb //OnewheelConfigUUID
handle: 0x005f, uuid: 00002901-0000-1000-8000-00805f9b34fb
handle: 0x0060, uuid: 00002803-0000-1000-8000-00805f9b34fb
handle: 0x0061, uuid: e659f313-ea98-11e3-ac10-0800200c9a66
handle: 0x0062, uuid: 00002902-0000-1000-8000-00805f9b34fb //OnewheelConfigUUID
handle: 0x0063, uuid: 00002901-0000-1000-8000-00805f9b34fb
handle: 0x0064, uuid: 00002803-0000-1000-8000-00805f9b34fb
handle: 0x0065, uuid: e659f314-ea98-11e3-ac10-0800200c9a66
handle: 0x0066, uuid: 00002902-0000-1000-8000-00805f9b34fb //OnewheelConfigUUID
handle: 0x0067, uuid: 00002901-0000-1000-8000-00805f9b34fb
handle: 0x0068, uuid: 00002803-0000-1000-8000-00805f9b34fb
handle: 0x0069, uuid: e659f315-ea98-11e3-ac10-0800200c9a66
handle: 0x006a, uuid: 00002902-0000-1000-8000-00805f9b34fb //OnewheelConfigUUID
handle: 0x006b, uuid: 00002901-0000-1000-8000-00805f9b34fb
handle: 0x006c, uuid: 00002803-0000-1000-8000-00805f9b34fb
handle: 0x006d, uuid: e659f316-ea98-11e3-ac10-0800200c9a66
handle: 0x006e, uuid: 00002902-0000-1000-8000-00805f9b34fb //OnewheelConfigUUID
handle: 0x006f, uuid: 00002901-0000-1000-8000-00805f9b34fb
handle: 0x0070, uuid: 00002803-0000-1000-8000-00805f9b34fb
handle: 0x0071, uuid: e659f317-ea98-11e3-ac10-0800200c9a66
handle: 0x0072, uuid: 00002902-0000-1000-8000-00805f9b34fb //OnewheelConfigUUID
handle: 0x0073, uuid: 00002901-0000-1000-8000-00805f9b34fb
handle: 0x0074, uuid: 00002803-0000-1000-8000-00805f9b34fb
handle: 0x0075, uuid: e659f318-ea98-11e3-ac10-0800200c9a66
handle: 0x0076, uuid: 00002902-0000-1000-8000-00805f9b34fb //OnewheelConfigUUID
handle: 0x0077, uuid: 00002901-0000-1000-8000-00805f9b34fb
handle: 0x0078, uuid: 00002803-0000-1000-8000-00805f9b34fb
handle: 0x0079, uuid: e659f319-ea98-11e3-ac10-0800200c9a66
handle: 0x007a, uuid: 00002902-0000-1000-8000-00805f9b34fb //OnewheelConfigUUID
handle: 0x007b, uuid: 00002901-0000-1000-8000-00805f9b34fb
handle: 0x007c, uuid: 00002803-0000-1000-8000-00805f9b34fb
handle: 0x007d, uuid: e659f31a-ea98-11e3-ac10-0800200c9a66
handle: 0x007e, uuid: 00002902-0000-1000-8000-00805f9b34fb //OnewheelConfigUUID
handle: 0x007f, uuid: 00002901-0000-1000-8000-00805f9b34fb
handle: 0x0080, uuid: 00002803-0000-1000-8000-00805f9b34fb
handle: 0x0081, uuid: e659f31b-ea98-11e3-ac10-0800200c9a66
handle: 0x0082, uuid: 00002902-0000-1000-8000-00805f9b34fb //OnewheelConfigUUID
handle: 0x0083, uuid: 00002901-0000-1000-8000-00805f9b34fb
handle: 0x0084, uuid: 00002803-0000-1000-8000-00805f9b34fb
handle: 0x0085, uuid: e659f31c-ea98-11e3-ac10-0800200c9a66
handle: 0x0086, uuid: 00002902-0000-1000-8000-00805f9b34fb //OnewheelConfigUUID
handle: 0x0087, uuid: 00002901-0000-1000-8000-00805f9b34fb
handle: 0x0088, uuid: 00002803-0000-1000-8000-00805f9b34fb
handle: 0x0089, uuid: e659f31d-ea98-11e3-ac10-0800200c9a66
handle: 0x008a, uuid: 00002902-0000-1000-8000-00805f9b34fb //OnewheelConfigUUID
handle: 0x008b, uuid: 00002901-0000-1000-8000-00805f9b34fb
handle: 0x008c, uuid: 00002803-0000-1000-8000-00805f9b34fb
handle: 0x008d, uuid: e659f31e-ea98-11e3-ac10-0800200c9a66
handle: 0x008e, uuid: 00002902-0000-1000-8000-00805f9b34fb //OnewheelConfigUUID
handle: 0x008f, uuid: 00002901-0000-1000-8000-00805f9b34fb
handle: 0x0090, uuid: 00002803-0000-1000-8000-00805f9b34fb
handle: 0x0091, uuid: e659f31f-ea98-11e3-ac10-0800200c9a66
handle: 0x0092, uuid: 00002902-0000-1000-8000-00805f9b34fb //OnewheelConfigUUID
handle: 0x0093, uuid: 00002901-0000-1000-8000-00805f9b34fb
handle: 0x0094, uuid: 00002803-0000-1000-8000-00805f9b34fb
handle: 0x0095, uuid: e659f320-ea98-11e3-ac10-0800200c9a66
handle: 0x0096, uuid: 00002902-0000-1000-8000-00805f9b34fb //OnewheelConfigUUID
handle: 0x0097, uuid: 00002901-0000-1000-8000-00805f9b34fb
